,Symbol,Company Name
0,RELIANCE,Reliance Industries Limited
1,TCS,Tata Consultancy Services Limited
2,HDFCBANK,HDFC Bank Limited
3,INFY,Infosys Limited
4,HINDUNILVR,Hindustan Unilever Limited
5,HDFC,Housing Development Finance Corporation Limited
6,ICICIBANK,ICICI Bank Limited
7,KOTAKBANK,Kotak Mahindra Bank Limited
8,SBIN,State Bank of India
9,BAJFINANCE,Bajaj Finance Limited
10,BHARTIARTL,Bharti Airtel Limited
11,ITC,ITC Limited
12,HCLTECH,HCL Technologies Limited
13,ASIANPAINT,Asian Paints Limited
14,WIPRO,Wipro Limited
15,AXISBANK,Axis Bank Limited
16,MARUTI,Maruti Suzuki India Limited
17,LT,Larsen & Toubro Limited
18,ULTRACEMCO,UltraTech Cement Limited
19,DMART,Avenue Supermarts Limited
20,ADANIGREEN,Adani Green Energy Limited
21,BAJAJFINSV,Bajaj Finserv Limited
22,SUNPHARMA,Sun Pharmaceutical Industries Limited
23,ADANIPORTS,Adani Ports and Special Economic Zone Limited
24,HDFCLIFE,HDFC Life Insurance Company Limited
25,TITAN,Titan Company Limited
26,ONGC,Oil & Natural Gas Corporation Limited
27,HINDZINC,Hindustan Zinc Limited
28,ADANIENT,Adani Enterprises Limited
29,JSWSTEEL,JSW Steel Limited
30,POWERGRID,Power Grid Corporation of India Limited
31,SHREECEM,SHREE CEMENT LIMITED
32,BAJAJ-AUTO,Bajaj Auto Limited
33,ATGL,Adani Total Gas Limited
34,NTPC,NTPC Limited
35,TATAMOTORS,Tata Motors Limited
36,ADANITRANS,Adani Transmission Limited
37,M&M,Mahindra & Mahindra Limited
38,DIVISLAB,Divi's Laboratories Limited
39,TECHM,Tech Mahindra Limited
40,DABUR,Dabur India Limited
41,GRASIM,Grasim Industries Limited
42,BPCL,Bharat Petroleum Corporation Limited
43,PIDILITIND,Pidilite Industries Limited
44,TATASTEEL,Tata Steel Limited
45,SBILIFE,SBI Life Insurance Company Limited
46,BRITANNIA,Britannia Industries Limited
47,SBICARD,SBI Cards and Payment Services Limited
48,IOC,Indian Oil Corporation Limited
49,VEDL,Vedanta Limited
50,COALINDIA,Coal India Limited
51,DRREDDY,Dr. Reddy's Laboratories Limited
52,GODREJCP,Godrej Consumer Products Limited
53,BERGEPAINT,Berger Paints (I) Limited
54,INDUSINDBK,IndusInd Bank Limited
55,HINDALCO,Hindalco Industries Limited
56,EICHERMOT,Eicher Motors Limited
57,DLF,DLF Limited
58,LTI,Larsen & Toubro Infotech Limited
59,INDUSTOWER,Indus Towers Limited
60,HAVELLS,Havells India Limited
61,CIPLA,Cipla Limited
62,SIEMENS,Siemens Limited
63,ICICIGI,ICICI Lombard General Insurance Company Limited
64,ICICIPRULI,ICICI Prudential Life Insurance Company Limited
65,MOTHERSUMI,Motherson Sumi Systems Limited
66,INDIGO,InterGlobe Aviation Limited
67,HDFCAMC,HDFC Asset Management Company Limited
68,AMBUJACEM,Ambuja Cements Limited
69,GAIL,GAIL (India) Limited
70,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
71,HEROMOTOCO,Hero MotoCorp Limited
72,NAUKRI,Info Edge (India) Limited
73,BANDHANBNK,Bandhan Bank Limited
74,MARICO,Marico Limited
75,AUROPHARMA,Aurobindo Pharma Limited
76,BIOCON,Biocon Limited
77,UPL,UPL Limited
78,MUTHOOTFIN,Muthoot Finance Limited
79,LUPIN,Lupin Limited
80,CHOLAFIN,Cholamandalam Investment and Finance Company Limited
81,CADILAHC,Cadila Healthcare Limited
82,TORNTPHARM,Torrent Pharmaceuticals Limited
83,COLPAL,Colgate Palmolive (India) Limited
84,HONAUT,Honeywell Automation India Limited
85,APOLLOHOSP,Apollo Hospitals Enterprise Limited
86,BOSCHLTD,Bosch Limited
87,IDBI,IDBI Bank Limited
88,PGHH,Procter & Gamble Hygiene and Health Care Limited
89,GLAND,Gland Pharma Limited
90,MCDOWELL-N,United Spirits Limited
91,NMDC,NMDC Limited
92,PEL,Piramal Enterprises Limited
93,GODREJPROP,Godrej Properties Limited
94,YESBANK,Yes Bank Limited
95,JUBLFOOD,Jubilant Foodworks Limited
96,PNB,Punjab National Bank
97,AUBANK,AU Small Finance Bank Limited
98,BANKBARODA,Bank of Baroda
99,GUJGASLTD,Gujarat Gas Limited
100,BAJAJHLDNG,Bajaj Holdings & Investment Limited
101,CONCOR,Container Corporation of India Limited
102,SRTRANSFIN,Shriram Transport Finance Company Limited
103,IGL,Indraprastha Gas Limited
104,ACC,ACC Limited
105,JINDALSTEL,Jindal Steel & Power Limited
106,GICRE,General Insurance Corporation of India
107,MRF,MRF Limited
108,HINDPETRO,Hindustan Petroleum Corporation Limited
109,MINDTREE,MindTree Limited
110,3MINDIA,3M India Limited
111,PIIND,PI Industries Limited
112,PAGEIND,Page Industries Limited
113,PETRONET,Petronet LNG Limited
114,ASHOKLEY,Ashok Leyland Limited
115,HAL,Hindustan Aeronautics Limited
116,MPHASIS,MphasiS Limited
117,VOLTAS,Voltas Limited
118,ALKEM,Alkem Laboratories Limited
119,TATAPOWER,Tata Power Company Limited
120,UBL,United Breweries Limited
121,ADANIPOWER,Adani Power Limited
122,BALKRISIND,Balkrishna Industries Limited
123,SAIL,Steel Authority of India Limited
124,ASTRAL,Astral Poly Technik Limited
125,KANSAINER,Kansai Nerolac Paints Limited
126,SRF,SRF Limited
127,IDFCFIRSTB,IDFC First Bank Limited
128,BEL,Bharat Electronics Limited
129,TATACOMM,Tata Communications Limited
130,PFC,Power Finance Corporation Limited
131,IRFC,Indian Railway Finance Corporation Limited
132,ABB,ABB India Limited
133,DALBHARAT,Dalmia Bharat Limited
134,MFSL,Max Financial Services Limited
135,VBL,Varun Beverages Limited
136,ABCAPITAL,Aditya Birla Capital Limited
137,SUNDARMFIN,Sundaram Finance Limited
138,WHIRLPOOL,Whirlpool of India Limited
139,IRCTC,Indian Railway Catering And Tourism Corporation Limited
140,LTTS,L&T Technology Services Limited
141,TVSMOTOR,TVS Motor Company Limited
142,BHARATFORG,Bharat Forge Limited
143,OFSS,Oracle Financial Services Software Limited
144,TRENT,Trent Limited
145,IDEA,Vodafone Idea Limited
146,IOB,Indian Overseas Bank
147,SUPREMEIND,Supreme Industries Limited
148,RECLTD,REC Limited
149,CUMMINSIND,Cummins India Limited
150,NIACL,The New India Assurance Company Limited
151,CANBK,Canara Bank
152,CROMPTON,Crompton Greaves Consumer Electricals Limited
153,M&MFIN,Mahindra & Mahindra Financial Services Limited
154,NHPC,NHPC Limited
155,GLAXO,GlaxoSmithKline Pharmaceuticals Limited
156,IPCALAB,IPCA Laboratories Limited
157,L&TFH,L&T Finance Holdings Limited
158,RAMCOCEM,The Ramco Cements Limited
159,INDIAMART,Indiamart Intermesh Limited
160,TIINDIA,Tube Investments of India Limited
161,AARTIIND,Aarti Industries Limited
162,COROMANDEL,Coromandel International Limited
163,DEEPAKNTR,Deepak Nitrite Limited
164,LALPATHLAB,Dr. Lal Path Labs Ltd.
165,JKCEMENT,JK Cement Limited
166,BANKINDIA,Bank of India
167,UNIONBANK,Union Bank of India
168,RELAXO,Relaxo Footwears Limited
169,SYNGENE,Syngene International Limited
170,LICHSGFIN,LIC Housing Finance Limited
171,EMAMILTD,Emami Limited
172,DIXON,Dixon Technologies (India) Limited
173,ATUL,Atul Limited
174,OBEROIRLTY,Oberoi Realty Limited
175,NAM-INDIA,Nippon Life India Asset Management Limited
176,PFIZER,Pfizer Limited
177,POLYCAB,Polycab India Limited
178,ENDURANCE,Endurance Technologies Limited
179,TORNTPOWER,Torrent Power Limited
180,MAXHEALTH,Max Healthcare Institute Limited
181,ZEEL,Zee Entertainment Enterprises Limited
182,LAURUSLABS,Laurus Labs Limited
183,AIAENG,AIA Engineering Limited
184,GILLETTE,Gillette India Limited
185,TATACHEM,Tata Chemicals Limited
186,AAVAS,Aavas Financiers Limited
187,RUCHI,Ruchi Soya Industries Limited
188,APLLTD,Alembic Pharmaceuticals Limited
